AreaID|ManagedAreaName|ParameterName|RelativeDepth|ActivityType|SufficientData|N_Data|N_Years|EarliestYear|LatestYear|Season|Median|Independent|tau|z|p_z|chi_sq|p_chi_sq|SennSlope|SennIntercept|Trend
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|All|5|TRUE|0.1885|7.272|0|28.5641|0.0027|0.153846153846154|2.8125|1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|1|2|TRUE|0.1785|3.4917|0.0005|||0.2|3|0
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|2|1|TRUE|0.3942|1.5269|0.1268|||0.4375|1.5625|2
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|3|4|TRUE|0.1069|-0.022|0.9825|||0.142857142857143|4.85714285714286|1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|4|5|TRUE|0.1956|1.9389|0.0525|||0.444444444444444|7.94444444444445|1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|5|5.5|TRUE|-0.0608|4.7943|0|||-0.117647058823529|13.8235294117647|-1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|6|6|TRUE|0.3354|1.148|0.251|||0.625|2.625|2
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|7|11.5|TRUE|0.2453|2.4416|0.0146|||0.266666666666667|7.75|1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|8|13|TRUE|0.3129|-0.6487|0.5166|||0.4|0.8|1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|9|12|TRUE|0.0768|3.6456|0.0003|||0|2|-1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|10|10.15|TRUE|0.3138|2.6429|0.0082|||0.125|0.875|1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|11|4|TRUE|0.1363|3.2182|0.0013|||0|1|-1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|678|13|2001|2019|12|2|TRUE|-0.0023|0.7243|0.4689|||0|4|-1
2|Apalachicola Bay Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|2843|17|2002|2019|All|11|TRUE|-0.0178|-1.9374|0.0527|44.208|0|-0.0518333333333334|12.71|0
2|Apalachicola Bay Aquatic Preserve|Chlorophyll a uncorrected for pheophytin|Surface|Sample|TRUE|2843|17|2002|2019|1|4.6|TRUE|0.0703|1.4574|0.145|||0.15|2.8|0
