AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1|Dissolved Oxygen Saturation|Bottom|Field|160|57.1|167.2|97.35|98.717|16.3654829581296|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|2|Dissolved Oxygen Saturation|Bottom|Field|173|55.2|142.8|96.4|95.035838150289|15.7223137616626|129, 355
2|Apalachicola Bay Aquatic Preserve|3|Dissolved Oxygen Saturation|Bottom|Field|176|2.1|144|90.65|90.1619318181818|18.5696088032004|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|4|Dissolved Oxygen Saturation|Bottom|Field|180|35.4|178.3|89.2|88.0688888888889|19.669322990763|129, 355
2|Apalachicola Bay Aquatic Preserve|5|Dissolved Oxygen Saturation|Bottom|Field|161|9.4|147.2|85.5|85.8894409937888|17.033638052705|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|6|Dissolved Oxygen Saturation|Bottom|Field|210|30.7|137|87.1|86.6847619047619|18.752057780299|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|7|Dissolved Oxygen Saturation|Bottom|Field|177|0.4|147|85.5|81.8662711864407|22.0538658148767|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|8|Dissolved Oxygen Saturation|Bottom|Field|165|23.6|126.4|80.2|78.3921212121212|21.3215881320558|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|9|Dissolved Oxygen Saturation|Bottom|Field|199|6.04|138|85.6|84.9067336683417|20.8416287214326|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|10|Dissolved Oxygen Saturation|Bottom|Field|165|6.37|133.5|84.8|86.3047272727273|17.933167478427|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|11|Dissolved Oxygen Saturation|Bottom|Field|183|1.7|139.2|93|93.8153005464481|17.0485726833962|129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|12|Dissolved Oxygen Saturation|Bottom|Field|153|10.41|165.4|96.5|96.8974509803922|15.2957487011317|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|1|Dissolved Oxygen Saturation|Bottom|Field|253|13.8|167.2|95.4|96.2815019762846|15.7571036927074|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|2|Dissolved Oxygen Saturation|Bottom|Field|251|55.2|142.8|95.7|94.6203187250996|15.3591127835565|129, 355
3|Apalachicola National Estuarine Research Reserve|3|Dissolved Oxygen Saturation|Bottom|Field|253|2.1|144|91.1|90.7541501976285|17.2679430653309|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|4|Dissolved Oxygen Saturation|Bottom|Field|261|35.4|178.3|87.8|87.7095785440613|18.2267307982239|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|5|Dissolved Oxygen Saturation|Bottom|Field|266|9.4|147.2|88.6|86.9815789473684|15.1581723069174|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|6|Dissolved Oxygen Saturation|Bottom|Field|309|30.7|137|87|86.5203883495146|17.0926012657674|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|7|Dissolved Oxygen Saturation|Bottom|Field|268|0.4|147|85.6|82.862052238806|20.6777162956467|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|8|Dissolved Oxygen Saturation|Bottom|Field|259|10.5|126.4|80.4|77.9046332046332|20.7705305587152|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|9|Dissolved Oxygen Saturation|Bottom|Field|274|6.04|138|86.15|85.0581751824818|19.7049652811443|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|10|Dissolved Oxygen Saturation|Bottom|Field|246|2.9|133.5|86.1|85.4117073170732|18.4065646322981|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|11|Dissolved Oxygen Saturation|Bottom|Field|283|1.7|139.2|93.6|94.2166077738516|16.2927377921592|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|12|Dissolved Oxygen Saturation|Bottom|Field|198|10.41|165.4|96.5|96.904595959596|13.9507647512804|129, 355, 5002
4|Banana River Aquatic Preserve|1|Dissolved Oxygen Saturation|Bottom|Field|87|0.3216|154.9|66|48.741267816092|47.9382602844352|3001, 3013, 5002
4|Banana River Aquatic Preserve|2|Dissolved Oxygen Saturation|Bottom|Field|58|0.3674|212|85.615|67.945874137931|49.4039285825461|3001, 3013, 5002
4|Banana River Aquatic Preserve|3|Dissolved Oxygen Saturation|Bottom|Field|84|0.3331|151.8|70.8325|52.2405011904762|49.6256332310362|95, 3001, 3013, 5002
4|Banana River Aquatic Preserve|4|Dissolved Oxygen Saturation|Bottom|Field|88|0.3261|162.28|32.55|48.6753931818182|51.9793824215784|3001, 5002
4|Banana River Aquatic Preserve|5|Dissolved Oxygen Saturation|Bottom|Field|80|0.3073|154.27|50.5|48.032365|46.8279848655143|3001, 3013, 5002
4|Banana River Aquatic Preserve|6|Dissolved Oxygen Saturation|Bottom|Field|78|0.3018|145|60.45|54.8024358974359|48.5658107378634|3001, 3013, 5002
4|Banana River Aquatic Preserve|7|Dissolved Oxygen Saturation|Bottom|Field|83|0.3606|169|31|45.4629445783133|49.0442042495669|3001, 3013, 5002
4|Banana River Aquatic Preserve|8|Dissolved Oxygen Saturation|Bottom|Field|76|0.3988|165.016|30.15|45.3137973684211|49.1671301732312|3001, 3013, 5002
4|Banana River Aquatic Preserve|9|Dissolved Oxygen Saturation|Bottom|Field|84|0.1624|146|1.18635|41.3393511904762|47.4034163495781|3001, 3013, 5002
4|Banana River Aquatic Preserve|10|Dissolved Oxygen Saturation|Bottom|Field|83|0.0845|149.36|62|49.0960168674699|46.8012226968584|3001, 3013, 5002
4|Banana River Aquatic Preserve|11|Dissolved Oxygen Saturation|Bottom|Field|66|0.3314|162.09|26.81045|43.9525787878788|46.0940768188863|3001, 3013, 5002
4|Banana River Aquatic Preserve|12|Dissolved Oxygen Saturation|Bottom|Field|84|0.5412|163.49|37.1|48.724380952381|49.4068176958963|3001, 3013, 5002
