AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1|Water Temperature|surface|1987-01-13T11:35:00Z|2023-01-31T23:00:00Z|4526|7.84|24.53|17.39|17.4738110914715|2.92954335843431
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2|Water Temperature|surface|1989-02-14T10:38:00Z|2023-02-28T23:00:00Z|4124|11.68|25.89|20.87|20.5853317167798|3.04281095636589
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|3|Water Temperature|surface|1989-03-21T10:16:00Z|2023-03-06T13:00:00Z|3925|13.43|27.83|22.16|21.9880443312102|2.75268912141483
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|4|Water Temperature|surface|1987-04-13T10:37:00Z|2022-04-30T23:00:00Z|3786|17.63|28.37|24.55|24.383792921289|1.64610785151654
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|5|Water Temperature|surface|1989-05-17T11:30:00Z|2022-05-28T19:00:00Z|4464|21.99|30.49|26.94|26.8753389336918|1.60073307121097
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|6|Water Temperature|surface|1989-06-14T09:37:00Z|2022-06-30T23:00:00Z|4382|23.8|32.56|29.26|29.2499938384299|1.25487617015673
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|7|Water Temperature|surface|1987-07-27T10:18:00Z|2022-07-31T23:00:00Z|4529|27.48|32.9|30.41|30.4021247516008|0.971938659620217
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|8|Water Temperature|surface|1989-08-24T09:50:00Z|2022-08-31T23:00:00Z|4538|27.19|33.05|30.605|30.5158188629352|1.05398823990285
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|9|Water Temperature|surface|1989-09-13T12:45:00Z|2022-09-30T23:00:00Z|4404|22.93|32.85|29.39|29.1610229336966|1.5175034768776
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|10|Water Temperature|surface|1987-10-28T10:05:00Z|2022-10-31T23:00:00Z|4539|16.84|30.04|26.88|26.4563809209077|2.01619023474177
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|11|Water Temperature|surface|1988-11-15T10:06:00Z|2022-11-30T23:00:00Z|4393|15.02|28.7|22.33|22.4048952879581|2.51714744755458
4|Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|12|Water Temperature|surface|1989-12-13T10:00:00Z|2022-12-31T23:00:00Z|4535|9.83|24.61|18.96|19.0906745314223|2.99309752179021
21|Indian River-Malabar to Vero Beach Aquatic Preserve|5005|Indian River Lagoon Aquatic Preserves Continuous Water Quality Monitoring|IRDM|1|Water Temperature|bottom|2004-01-01T00:00:00Z|2007-01-31T23:30:00Z|5397|12.6|25.7|19.1|19.2492495831017|2.60314820023973
21|Indian River-Malabar to Vero Beach Aquatic Preserve|5005|Indian River Lagoon Aquatic Preserves Continuous Water Quality Monitoring|IRDM|2|Water Temperature|bottom|2004-02-01T00:00:00Z|2007-02-28T23:30:00Z|5424|12.1|26.5|19.6|19.4659292035398|2.35803496941539
